time,view_east,view_north,view_south,view_west,amb_temp,wind_perpendicular,wind_parallel,clouds,intial_temp,temp
1.0,1.0,0.0,0.0,0.0,0.36363636363636376,0.25881904510252074,0.9659258262890683,0.0,0.9999999999999999,62.5
1.0,0.0,1.0,0.0,0.0,0.36363636363636376,0.0,0.258819045102521,0.0,0.4126984126984127,44.0
1.0,0.0,0.0,1.0,0.0,0.36363636363636376,0.9659258262890683,0.25881904510252074,0.0,0.9101587301587301,59.67
1.0,0.0,0.0,0.0,1.0,0.36363636363636376,0.0,0.9659258262890683,0.0,0.5238095238095238,47.5
2.0,1.0,0.0,0.0,0.0,0.36363636363636376,0.42261826174069944,0.9063077870366499,0.0,0.9999999999999999,62.5
2.0,0.0,1.0,0.0,0.0,0.36363636363636376,0.0,0.4226182617406995,0.0,0.4126984126984127,43.33
2.0,0.0,0.0,1.0,0.0,0.36363636363636376,0.9063077870366499,0.42261826174069944,0.0,0.9101587301587301,63.0
2.0,0.0,0.0,0.0,1.0,0.36363636363636376,0.0,0.90630778703665,0.0,0.5238095238095238,52.0
3.0,1.0,0.0,0.0,0.0,0.4545454545454546,0.3420201433256688,0.9396926207859083,0.0,0.9999999999999999,61.5
3.0,0.0,1.0,0.0,0.0,0.4545454545454546,0.0,0.3420201433256689,0.0,0.4126984126984127,41.67
3.0,0.0,0.0,1.0,0.0,0.4545454545454546,0.9396926207859084,0.3420201433256687,0.0,0.9101587301587301,65.67
3.0,0.0,0.0,0.0,1.0,0.4545454545454546,0.0,0.9396926207859084,0.0,0.5238095238095238,50.5
4.0,1.0,0.0,0.0,0.0,0.5454545454545454,0.3420201433256688,0.9396926207859083,0.0,0.9999999999999999,58.5
4.0,0.0,1.0,0.0,0.0,0.5454545454545454,0.0,0.3420201433256689,0.0,0.4126984126984127,43.0
4.0,0.0,0.0,1.0,0.0,0.5454545454545454,0.9396926207859084,0.3420201433256687,0.0,0.9101587301587301,68.0
4.0,0.0,0.0,0.0,1.0,0.5454545454545454,0.0,0.9396926207859084,0.0,0.5238095238095238,62.5
5.0,1.0,0.0,0.0,0.0,0.7272727272727275,0.42261826174069944,0.9063077870366499,0.0,0.9999999999999999,62.5
5.0,0.0,1.0,0.0,0.0,0.7272727272727275,0.0,0.4226182617406995,0.0,0.4126984126984127,42.0
5.0,0.0,0.0,1.0,0.0,0.7272727272727275,0.9063077870366499,0.42261826174069944,0.0,0.9101587301587301,69.33
5.0,0.0,0.0,0.0,1.0,0.7272727272727275,0.0,0.90630778703665,0.0,0.5238095238095238,63.5
6.0,1.0,0.0,0.0,0.0,0.9090909090909092,0.42261826174069944,0.9063077870366499,0.0,0.9999999999999999,58.0
6.0,0.0,1.0,0.0,0.0,0.9090909090909092,0.0,0.4226182617406995,0.0,0.4126984126984127,38.67
6.0,0.0,0.0,1.0,0.0,0.9090909090909092,0.9063077870366499,0.42261826174069944,0.0,0.9101587301587301,67.67
6.0,0.0,0.0,0.0,1.0,0.9090909090909092,0.0,0.90630778703665,0.0,0.5238095238095238,60.5
0.0,1.0,0.0,0.0,0.0,0.27272727272727293,0.0,0.9396926207859084,0.0,0.8412698412698413,53.0
0.0,0.0,1.0,0.0,0.0,0.27272727272727293,0.0,0.3420201433256686,0.0,0.27523809523809517,39.0
0.0,0.0,0.0,1.0,0.0,0.27272727272727293,0.0,0.3420201433256689,0.0,0.7301587301587301,52.0
0.0,0.0,0.0,0.0,1.0,0.27272727272727293,0.3420201433256688,0.9396926207859083,0.0,0.3492063492063492,39.0
1.0,1.0,0.0,0.0,0.0,0.36363636363636376,0.0,0.9510565162951535,0.0,0.8412698412698413,57.5
1.0,0.0,1.0,0.0,0.0,0.36363636363636376,0.0,0.3090169943749477,0.0,0.27523809523809517,39.67
1.0,0.0,0.0,1.0,0.0,0.36363636363636376,0.0,0.3090169943749475,0.0,0.7301587301587301,54.0
1.0,0.0,0.0,0.0,1.0,0.36363636363636376,0.30901699437494745,0.9510565162951535,0.0,0.3492063492063492,42.0
2.0,1.0,0.0,0.0,0.0,0.4545454545454546,0.0,0.984807753012208,0.0,0.8412698412698413,61.0
2.0,0.0,1.0,0.0,0.0,0.4545454545454546,0.0,0.1736481776669304,0.0,0.27523809523809517,40.67
2.0,0.0,0.0,1.0,0.0,0.4545454545454546,0.0,0.17364817766693028,0.0,0.7301587301587301,59.33
2.0,0.0,0.0,0.0,1.0,0.4545454545454546,0.17364817766693041,0.984807753012208,0.0,0.3492063492063492,46.5
3.0,1.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.984807753012208,0.0,0.8412698412698413,61.0
3.0,0.0,1.0,0.0,0.0,0.5454545454545454,0.0,0.1736481776669304,0.0,0.27523809523809517,42.0
3.0,0.0,0.0,1.0,0.0,0.5454545454545454,0.0,0.17364817766693028,0.0,0.7301587301587301,62.0
3.0,0.0,0.0,0.0,1.0,0.5454545454545454,0.17364817766693041,0.984807753012208,0.0,0.3492063492063492,46.5
4.0,1.0,0.0,0.0,0.0,0.7272727272727275,0.5000000000000001,0.8660254037844386,0.0,0.8412698412698413,63.5
4.0,0.0,1.0,0.0,0.0,0.7272727272727275,0.0,0.49999999999999994,0.0,0.27523809523809517,40.67
4.0,0.0,0.0,1.0,0.0,0.7272727272727275,0.0,0.49999999999999994,0.0,0.7301587301587301,65.0
4.0,0.0,0.0,0.0,1.0,0.7272727272727275,0.0,0.8660254037844385,0.0,0.3492063492063492,49.5
5.0,1.0,0.0,0.0,0.0,0.9090909090909092,0.5299192642332049,0.8480480961564261,0.0,0.8412698412698413,61.0
5.0,0.0,1.0,0.0,0.0,0.9090909090909092,0.0,0.5299192642332049,0.0,0.27523809523809517,43.33
5.0,0.0,0.0,1.0,0.0,0.9090909090909092,0.0,0.5299192642332049,0.0,0.7301587301587301,70.0
5.0,0.0,0.0,0.0,1.0,0.9090909090909092,0.0,0.848048096156426,0.0,0.3492063492063492,57.0
6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3420201433256689,0.0,0.8412698412698413,56.5
6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9396926207859084,0.0,0.27523809523809517,41.0
6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9396926207859083,0.0,0.7301587301587301,65.67
6.0,0.0,0.0,0.0,1.0,1.0,0.9396926207859084,0.3420201433256687,0.0,0.3492063492063492,51.0
7.0,1.0,0.0,0.0,0.0,0.9090909090909092,0.0,0.8660254037844387,0.0,0.8412698412698413,55.0
7.0,0.0,1.0,0.0,0.0,0.9090909090909092,0.0,0.5000000000000001,0.0,0.27523809523809517,39.22
7.0,0.0,0.0,1.0,0.0,0.9090909090909092,0.0,0.49999999999999994,0.0,0.7301587301587301,65.67
7.0,0.0,0.0,0.0,1.0,0.9090909090909092,0.5000000000000001,0.8660254037844386,0.0,0.3492063492063492,53.33
9.0,1.0,0.0,0.0,0.0,0.7272727272727275,0.42261826174069944,0.9063077870366499,0.0,0.8412698412698413,52.0
9.0,0.0,1.0,0.0,0.0,0.7272727272727275,0.0,0.4226182617406995,0.0,0.27523809523809517,35.67
9.0,0.0,0.0,1.0,0.0,0.7272727272727275,0.9063077870366499,0.42261826174069944,0.0,0.7301587301587301,65.67
9.0,0.0,0.0,0.0,1.0,0.7272727272727275,0.0,0.90630778703665,0.0,0.3492063492063492,58.0
10.0,1.0,0.0,0.0,0.0,0.5454545454545454,0.5000000000000001,0.8660254037844386,0.0,0.8412698412698413,48.0
10.0,0.0,1.0,0.0,0.0,0.5454545454545454,0.0,0.49999999999999994,0.0,0.27523809523809517,33.33
10.0,0.0,0.0,1.0,0.0,0.5454545454545454,0.8660254037844387,0.49999999999999994,0.0,0.7301587301587301,62.67
10.0,0.0,0.0,0.0,1.0,0.5454545454545454,0.0,0.8660254037844387,0.0,0.3492063492063492,57.5
11.0,1.0,0.0,0.0,0.0,0.4545454545454546,0.5000000000000001,0.8660254037844386,0.0,0.8412698412698413,45.0
11.0,0.0,1.0,0.0,0.0,0.4545454545454546,0.0,0.49999999999999994,0.0,0.27523809523809517,29.67
11.0,0.0,0.0,1.0,0.0,0.4545454545454546,0.0,0.49999999999999994,0.0,0.7301587301587301,57.33
11.0,0.0,0.0,0.0,1.0,0.4545454545454546,0.0,0.8660254037844385,0.0,0.3492063492063492,51.0
0.0,1.0,0.0,0.0,0.0,0.1818181818181821,0.0,0.17364817766693028,0.0,0.6507936507936508,53.0
0.0,0.0,1.0,0.0,0.0,0.1818181818181821,0.0,0.984807753012208,0.0,0.39142857142857135,49.0
0.0,0.0,0.0,1.0,0.0,0.1818181818181821,0.0,0.984807753012208,0.0,0.8466666666666666,55.0
0.0,0.0,0.0,0.0,1.0,0.1818181818181821,0.984807753012208,0.17364817766693033,0.0,0.38095238095238104,40.5
1.0,1.0,0.0,0.0,0.0,0.27272727272727293,0.0,0.8191520442889917,0.0,0.6507936507936508,51.5
1.0,0.0,1.0,0.0,0.0,0.27272727272727293,0.0,0.5735764363510462,0.0,0.39142857142857135,43.33
1.0,0.0,0.0,1.0,0.0,0.27272727272727293,0.0,0.573576436351046,0.0,0.8466666666666666,57.67
1.0,0.0,0.0,0.0,1.0,0.27272727272727293,0.573576436351046,0.8191520442889918,0.0,0.38095238095238104,43.0
2.0,1.0,0.0,0.0,0.0,0.36363636363636376,0.0,0.6691306063588583,0.0,0.6507936507936508,57.0
2.0,0.0,1.0,0.0,0.0,0.36363636363636376,0.0,0.7431448254773944,0.0,0.39142857142857135,45.33
2.0,0.0,0.0,1.0,0.0,0.36363636363636376,0.0,0.7431448254773942,0.0,0.8466666666666666,60.67
2.0,0.0,0.0,0.0,1.0,0.36363636363636376,0.7431448254773942,0.6691306063588582,0.0,0.38095238095238104,47.5
3.0,1.0,0.0,0.0,0.0,0.4545454545454546,0.0,0.5735764363510459,0.0,0.6507936507936508,58.5
3.0,0.0,1.0,0.0,0.0,0.4545454545454546,0.0,0.8191520442889916,0.0,0.39142857142857135,47.0
3.0,0.0,0.0,1.0,0.0,0.4545454545454546,0.0,0.8191520442889918,0.0,0.8466666666666666,65.0
3.0,0.0,0.0,0.0,1.0,0.4545454545454546,0.8191520442889918,0.573576436351046,0.0,0.38095238095238104,51.5
4.0,1.0,0.0,0.0,0.0,0.4545454545454546,0.0,0.37460659341591224,0.0,0.6507936507936508,60.5
4.0,0.0,1.0,0.0,0.0,0.4545454545454546,0.0,0.9271838545667873,0.0,0.39142857142857135,45.33
4.0,0.0,0.0,1.0,0.0,0.4545454545454546,0.0,0.9271838545667874,0.0,0.8466666666666666,65.67
4.0,0.0,0.0,0.0,1.0,0.4545454545454546,0.9271838545667874,0.374606593415912,0.0,0.38095238095238104,53.5
5.0,1.0,0.0,0.0,0.0,0.7272727272727275,0.0,0.3420201433256689,0.0,0.6507936507936508,58.5
5.0,0.0,1.0,0.0,0.0,0.7272727272727275,0.0,0.9396926207859084,0.0,0.39142857142857135,46.0
5.0,0.0,0.0,1.0,0.0,0.7272727272727275,0.0,0.9396926207859083,0.0,0.8466666666666666,67.67
5.0,0.0,0.0,0.0,1.0,0.7272727272727275,0.9396926207859084,0.3420201433256687,0.0,0.38095238095238104,55.5
6.0,1.0,0.0,0.0,0.0,0.8181818181818183,0.0,0.49999999999999994,0.0,0.6507936507936508,57.25
6.0,0.0,1.0,0.0,0.0,0.8181818181818183,0.0,0.8660254037844385,0.0,0.39142857142857135,44.83
6.0,0.0,0.0,1.0,0.0,0.8181818181818183,0.0,0.8660254037844386,0.0,0.8466666666666666,67.67
6.0,0.0,0.0,0.0,1.0,0.8181818181818183,0.8660254037844387,0.49999999999999994,0.0,0.38095238095238104,56.75
7.0,1.0,0.0,0.0,0.0,0.9090909090909092,0.0,0.6156614753256584,0.0,0.6507936507936508,56.0
7.0,0.0,1.0,0.0,0.0,0.9090909090909092,0.0,0.7880107536067221,0.0,0.39142857142857135,43.67
