Date,Time,Temperature,wind_direction,Ambient Temperature (in °C),Delta Temp (Y),Log (Y),Temperature - 1 (in °C),Delta Temp (Y-1),North,East,West,South,Wind Impact (Should be linear variation & wind speed),FACE-A,FACE-B,FACE-C
2018-02-01,12:30:00,41,155,31,10,2.302585092994046,38,7,1,0,0,0,0.0,0,0,1
2018-02-01,13:00:00,58,155,33,25,3.2188758248682006,61,28,0,0,1,0,0.0,1,0,0
2018-02-01,13:00:00,63,155,33,30,3.4011973816621555,66,33,0,0,1,0,0.0,0,1,0
2018-02-01,13:00:00,68,155,33,35,3.5553480614894135,66,33,0,0,0,1,0.9063077870366499,1,0,0
2018-02-01,13:00:00,66,155,33,33,3.4965075614664802,71,38,0,0,0,1,0.9063077870366499,0,1,0
2018-02-01,13:00:00,69,155,33,36,3.58351893845611,71,38,0,0,0,1,0.9063077870366499,0,0,1
2018-02-01,13:00:00,63,155,33,30,3.4011973816621555,69,36,0,1,0,0,0.42261826174069944,1,0,0
2018-02-01,13:00:00,53,155,33,20,2.995732273553991,56,23,0,1,0,0,0.42261826174069944,0,1,0
2018-02-01,13:00:00,40,155,33,7,1.9459101490553132,43,10,1,0,0,0,0.0,1,0,0
2018-02-01,13:00:00,39,155,33,6,1.791759469228055,42,9,1,0,0,0,0.0,0,1,0
2018-02-01,13:00:00,37,155,33,4,1.3862943611198906,41,8,1,0,0,0,0.0,0,0,1
2018-02-03,10:00:00,42,340,26,16,2.772588722239781,58,32,0,0,1,0,0.3420201433256688,1,0,0
2018-02-03,10:00:00,36,340,26,10,2.302585092994046,63,37,0,0,1,0,0.3420201433256688,0,1,0
2018-02-03,10:00:00,47,340,26,21,3.044522437723423,68,42,0,0,0,1,0.0,1,0,0
2018-02-03,10:00:00,55,340,26,29,3.367295829986474,66,40,0,0,0,1,0.0,0,1,0
2018-02-03,10:00:00,54,340,26,28,3.332204510175204,69,43,0,0,0,1,0.0,0,0,1
2018-02-03,10:00:00,47,340,26,21,3.044522437723423,63,37,0,1,0,0,0.0,1,0,0
2018-02-03,10:00:00,59,340,26,33,3.4965075614664802,53,27,0,1,0,0,0.0,0,1,0
2018-02-03,10:00:00,44,340,26,18,2.8903717578961645,40,14,1,0,0,0,0.9396926207859084,1,0,0
2018-02-03,10:00:00,38,340,26,12,2.4849066497880004,39,13,1,0,0,0,0.9396926207859084,0,1,0
2018-02-03,10:00:00,35,340,26,9,2.1972245773362196,37,11,1,0,0,0,0.9396926207859084,0,0,1
2018-02-03,10:30:00,43,342,27,16,2.772588722239781,42,15,0,0,1,0,0.30901699437494745,1,0,0
2018-02-03,10:30:00,41,342,27,14,2.6390573296152584,36,9,0,0,1,0,0.30901699437494745,0,1,0
2018-02-03,10:30:00,50,342,27,23,3.1354942159291497,47,20,0,0,0,1,0.0,1,0,0
2018-02-03,10:30:00,56,342,27,29,3.367295829986474,55,28,0,0,0,1,0.0,0,1,0
2018-02-03,10:30:00,56,342,27,29,3.367295829986474,54,27,0,0,0,1,0.0,0,0,1
2018-02-03,10:30:00,52,342,27,25,3.2188758248682006,47,20,0,1,0,0,0.0,1,0,0
2018-02-03,10:30:00,63,342,27,36,3.58351893845611,59,32,0,1,0,0,0.0,0,1,0
2018-02-03,10:30:00,43,342,27,16,2.772588722239781,44,17,1,0,0,0,0.9510565162951535,1,0,0
2018-02-03,10:30:00,39,342,27,12,2.4849066497880004,38,11,1,0,0,0,0.9510565162951535,0,1,0
2018-02-03,10:30:00,37,342,27,10,2.302585092994046,35,8,1,0,0,0,0.9510565162951535,0,0,1
2018-02-03,11:00:00,50,350,28,22,3.091042453358316,43,15,0,0,1,0,0.17364817766693041,1,0,0
2018-02-03,11:00:00,43,350,28,15,2.70805020110221,41,13,0,0,1,0,0.17364817766693041,0,1,0
2018-02-03,11:00:00,54,350,28,26,3.258096538021482,50,22,0,0,0,1,0.0,1,0,0
2018-02-03,11:00:00,62,350,28,34,3.5263605246161616,56,28,0,0,0,1,0.0,0,1,0
2018-02-03,11:00:00,62,350,28,34,3.5263605246161616,56,28,0,0,0,1,0.0,0,0,1
2018-02-03,11:00:00,58,350,28,30,3.4011973816621555,52,24,0,1,0,0,0.0,1,0,0
2018-02-03,11:00:00,64,350,28,36,3.58351893845611,63,35,0,1,0,0,0.0,0,1,0
2018-02-03,11:00:00,42,350,28,14,2.6390573296152584,43,15,1,0,0,0,0.984807753012208,1,0,0
2018-02-03,11:00:00,41,350,28,13,2.5649493574615367,39,11,1,0,0,0,0.984807753012208,0,1,0
2018-02-03,11:00:00,39,350,28,11,2.3978952727983707,37,9,1,0,0,0,0.984807753012208,0,0,1
2018-02-03,11:30:00,49,350,29,20,2.995732273553991,50,21,0,0,1,0,0.17364817766693041,1,0,0
2018-02-03,11:30:00,44,350,29,15,2.70805020110221,43,14,0,0,1,0,0.17364817766693041,0,1,0
2018-02-03,11:30:00,58,350,29,29,3.367295829986474,54,25,0,0,0,1,0.0,1,0,0
2018-02-03,11:30:00,63,350,29,34,3.5263605246161616,62,33,0,0,0,1,0.0,0,1,0
2018-02-03,11:30:00,65,350,29,36,3.58351893845611,62,33,0,0,0,1,0.0,0,0,1
2018-02-03,11:30:00,60,350,29,31,3.4339872044851463,58,29,0,1,0,0,0.0,1,0,0
2018-02-03,11:30:00,62,350,29,33,3.4965075614664802,64,35,0,1,0,0,0.0,0,1,0
2018-02-03,11:30:00,39,350,29,10,2.302585092994046,42,13,1,0,0,0,0.984807753012208,1,0,0
2018-02-03,11:30:00,43,350,29,14,2.6390573296152584,41,12,1,0,0,0,0.984807753012208,0,1,0
2018-02-03,11:30:00,44,350,29,15,2.70805020110221,39,10,1,0,0,0,0.984807753012208,0,0,1
2018-02-03,12:00:00,51,30,31,20,2.995732273553991,49,18,0,0,1,0,0.0,1,0,0
2018-02-03,12:00:00,48,30,31,17,2.833213344056216,44,13,0,0,1,0,0.0,0,1,0
2018-02-03,12:00:00,62,30,31,31,3.4339872044851463,58,27,0,0,0,1,0.0,1,0,0
2018-02-03,12:00:00,67,30,31,36,3.58351893845611,63,32,0,0,0,1,0.0,0,1,0
2018-02-03,12:00:00,66,30,31,35,3.5553480614894135,65,34,0,0,0,1,0.0,0,0,1
2018-02-03,12:00:00,61,30,31,30,3.4011973816621555,60,29,0,1,0,0,0.5000000000000001,1,0,0
2018-02-03,12:00:00,66,30,31,35,3.5553480614894135,62,31,0,1,0,0,0.5000000000000001,0,1,0
2018-02-03,12:00:00,45,30,31,14,2.6390573296152584,39,8,1,0,0,0,0.8660254037844387,1,0,0
2018-02-03,12:00:00,40,30,31,9,2.1972245773362196,43,12,1,0,0,0,0.8660254037844387,0,1,0
2018-02-03,12:00:00,37,30,31,6,1.791759469228055,44,13,1,0,0,0,0.8660254037844387,0,0,1
2018-02-03,12:30:00,59,32,33,26,3.258096538021482,51,18,0,0,1,0,0.0,1,0,0
2018-02-03,12:30:00,55,32,33,22,3.091042453358316,48,15,0,0,1,0,0.0,0,1,0
2018-02-03,12:30:00,68,32,33,35,3.5553480614894135,62,29,0,0,0,1,0.0,1,0,0
2018-02-03,12:30:00,68,32,33,35,3.5553480614894135,67,34,0,0,0,1,0.0,0,1,0
2018-02-03,12:30:00,74,32,33,41,3.713572066704308,66,33,0,0,0,1,0.0,0,0,1
2018-02-03,12:30:00,59,32,33,26,3.258096538021482,61,28,0,1,0,0,0.5299192642332049,1,0,0
